Swim,T1,Cycle,T2,Run
00:48:47,00:02:12,04:12:11,00:01:36,02:51:12
00:49:54,00:02:18,04:07:13,00:01:44,02:56:29
00:52:16,00:03:01,04:16:20,00:02:00,02:53:40
00:49:49,00:02:23,04:19:28,00:02:00,02:56:01
00:49:48,00:02:38,04:23:35,00:02:09,02:55:16
00:52:12,00:02:32,04:25:35,00:02:37,03:00:19
00:52:10,00:02:07,04:28:54,00:02:25,03:09:33
00:56:51,00:02:24,04:24:57,00:02:00,03:14:40
01:00:37,00:04:27,04:44:40,00:02:52,02:54:30
00:57:45,00:02:38,04:28:31,00:01:48,03:16:57
00:53:53,00:02:52,04:44:51,00:01:54,03:06:13
00:52:17,00:02:23,04:26:32,00:02:39,03:35:41
00:54:46,00:03:12,04:49:41,00:02:26,03:09:33
00:51:47,00:03:23,04:46:18,00:02:03,03:16:21
01:04:59,00:03:05,04:35:39,00:02:17,03:15:27
00:54:31,00:02:49,04:50:05,00:02:00,03:13:11
01:00:43,00:02:30,04:42:16,00:02:10,03:20:27
00:53:59,00:02:41,04:58:46,00:01:45,03:10:55
00:53:36,00:02:38,04:45:19,00:02:35,03:25:41
00:56:31,00:03:55,04:48:46,00:03:08,03:17:46
01:00:31,00:03:13,04:59:08,00:02:00,03:10:41
00:58:21,00:03:34,04:48:36,00:03:15,03:22:58
01:03:20,00:04:08,04:57:41,00:02:45,03:09:30
01:07:28,00:03:56,04:45:00,00:02:09,03:20:40
00:53:01,00:02:55,04:54:34,00:03:12,03:26:47
00:55:38,00:03:01,05:07:24,00:01:46,03:13:02
01:06:42,00:04:13,04:57:29,00:03:56,03:08:36
01:03:54,00:03:06,04:55:33,00:03:14,03:16:09
00:58:37,00:03:11,05:02:03,00:02:02,03:16:43
01:02:47,00:02:55,05:09:41,00:01:59,03:06:02
00:59:05,00:03:31,04:58:05,00:04:09,03:19:07
00:59:15,00:02:44,04:46:51,00:01:12,03:37:13
01:03:20,00:03:20,04:56:31,00:02:37,03:23:01
00:57:37,00:03:39,04:57:38,00:02:45,03:27:13
01:04:21,00:03:05,04:49:08,00:02:14,03:30:34
01:03:11,00:04:25,04:36:18,00:02:04,03:44:26
01:03:38,00:03:52,04:54:24,00:03:20,03:25:15
01:03:52,00:04:07,04:56:46,00:02:04,03:24:23
00:57:57,00:04:06,05:03:31,00:05:00,03:21:47
00:56:40,00:06:20,05:05:32,00:04:23,03:19:37
01:03:28,00:03:47,04:57:41,00:02:57,03:24:50
01:05:11,00:03:55,05:04:57,00:02:29,03:18:06
01:04:24,00:05:17,05:07:00,00:02:14,03:16:12
01:07:07,00:02:53,04:39:04,00:02:22,03:43:43
01:00:20,00:02:29,04:52:42,00:02:10,03:37:40
00:52:10,00:02:39,04:46:06,00:03:53,03:50:53
00:59:38,00:03:50,04:42:12,00:02:40,03:47:27
01:02:28,00:03:40,05:03:59,00:03:37,03:22:23
01:07:11,00:03:31,05:06:32,00:01:40,03:17:32
01:07:59,00:04:02,04:55:04,00:02:07,03:27:23
01:02:47,00:05:26,05:02:12,00:03:07,03:24:51
01:07:16,00:03:53,04:57:04,00:02:28,03:27:48
00:54:36,00:03:51,04:48:31,00:03:58,03:47:48
01:03:02,00:03:37,04:57:37,00:02:40,03:31:51
00:55:25,00:03:35,05:09:18,00:02:26,03:28:15
00:56:16,00:04:16,04:58:45,00:04:49,03:34:56
01:01:34,00:03:31,05:02:08,00:02:52,03:29:10
01:09:23,00:04:08,04:57:52,00:02:28,03:25:53
00:51:28,00:02:50,05:02:47,00:02:33,03:40:41
01:07:20,00:04:32,05:03:08,00:03:13,03:23:21
00:58:29,00:04:01,05:03:15,00:04:53,03:31:00
01:10:21,00:03:31,05:06:40,00:01:45,03:20:40
00:58:01,00:04:12,05:01:19,00:03:03,03:36:45
01:00:20,00:04:16,05:03:13,00:03:45,03:32:42
01:00:34,00:04:32,05:05:21,00:05:27,03:28:26
01:07:46,00:04:09,04:58:00,00:02:12,03:33:52
01:08:35,00:02:41,05:07:43,00:01:45,03:26:56
01:09:03,00:04:55,05:12:39,00:02:48,03:18:23
01:05:37,00:03:35,05:05:01,00:02:50,03:30:58
01:03:02,00:05:14,04:49:13,00:03:39,03:46:59
01:04:27,00:03:46,04:51:40,00:03:17,03:45:40
00:56:29,00:03:28,04:57:38,00:02:53,03:48:31
00:53:49,00:04:23,05:11:08,00:03:34,03:36:17
01:06:17,00:04:11,05:11:41,00:03:27,03:25:15
01:03:11,00:03:37,05:04:39,00:03:20,03:36:07
00:52:42,00:02:52,05:16:40,00:02:06,03:36:54
01:01:22,00:03:57,04:54:38,00:03:12,03:49:17
01:01:46,00:03:42,05:12:37,00:02:43,03:32:12
00:57:16,00:03:17,04:55:41,00:02:52,03:55:43
01:03:49,00:03:28,05:11:12,00:03:02,03:33:19
01:03:31,00:03:08,05:02:24,00:02:48,03:43:27
00:57:29,00:04:46,05:17:08,00:03:17,03:33:20
00:59:56,00:03:02,05:25:49,00:01:26,03:26:32
01:06:47,00:04:55,05:06:28,00:03:15,03:35:43
01:00:04,00:03:38,05:06:43,00:05:40,03:41:12
00:54:07,00:03:07,05:12:52,00:02:58,03:44:42
01:08:26,00:03:10,04:49:52,00:01:53,03:54:44
01:05:12,00:04:52,04:48:40,00:03:59,03:55:28
01:01:07,00:05:19,05:05:48,00:04:11,03:41:49
01:02:52,00:03:57,05:13:31,00:02:41,03:35:23
01:07:06,00:04:40,05:06:11,00:04:06,03:36:55
01:03:48,00:04:37,04:59:13,00:02:20,03:49:10
01:05:40,00:05:20,05:04:46,00:03:50,03:39:52
01:06:57,00:04:07,05:04:15,00:03:22,03:42:46
01:09:01,00:04:43,05:01:44,00:04:05,03:42:02
01:01:31,00:04:04,05:06:16,00:03:04,03:46:42
01:04:29,00:03:49,05:08:21,00:03:08,03:42:15
01:05:16,00:03:49,05:06:31,00:02:19,03:44:30
00:58:41,00:05:13,05:09:13,00:02:21,03:47:02
00:58:35,00:04:05,05:10:15,00:02:09,03:47:45
01:03:29,00:04:00,04:58:59,00:02:40,03:53:45
01:01:50,00:05:35,05:11:18,00:03:55,03:40:37
01:06:43,00:04:24,05:03:56,00:02:03,03:46:51
01:01:07,00:06:44,05:18:20,00:04:32,03:34:15
01:00:24,00:04:37,05:22:47,00:04:25,03:33:02
01:08:04,00:03:50,05:11:59,00:02:24,03:39:20
01:10:17,00:04:38,05:15:07,00:03:17,03:32:38
01:07:00,00:04:16,05:13:53,00:03:45,03:37:06
01:08:49,00:03:28,04:56:27,00:02:08,03:55:24
01:07:03,00:05:03,05:13:23,00:04:51,03:38:16
01:04:05,00:05:48,05:06:56,00:02:57,03:48:52
00:59:00,00:04:45,05:15:37,00:02:36,03:47:42
01:01:22,00:03:53,05:02:44,00:03:45,03:59:38
01:08:14,00:03:24,05:25:51,00:02:42,03:31:18
01:03:36,00:02:57,05:02:57,00:04:17,03:57:58
01:02:52,00:04:45,05:06:39,00:04:50,03:53:12
00:59:12,00:04:15,05:03:22,00:03:05,04:03:29
01:06:15,00:06:25,05:12:26,00:06:14,03:42:40
01:02:04,00:04:24,05:06:31,00:03:59,03:57:47
01:06:25,00:03:15,05:19:10,00:03:57,03:42:36
01:10:26,00:07:45,05:07:35,00:06:31,03:43:38
01:01:41,00:06:27,05:19:23,00:05:49,03:42:38
01:00:03,00:03:19,05:05:08,00:04:46,04:03:12
01:00:34,00:05:47,05:19:05,00:03:28,03:47:45
01:05:30,00:03:51,05:05:14,00:04:45,03:57:39
01:02:17,00:05:49,05:16:46,00:04:10,03:48:03
01:00:29,00:04:57,05:18:10,00:04:45,03:49:35
01:01:21,00:04:11,05:20:23,00:02:33,03:49:39
01:06:27,00:03:11,05:18:35,00:02:08,03:48:17
