Pos,Name,Time,Category (POS),Gender (POS),Swim,T1,Cycle,T2,Run,Bib,Category_pos,Gender_pos,Category,Gender
1,Terenzo BOZZONE ,07:56:00,Pro (1),Male (1),00:48:47,00:02:12,04:12:11,00:01:36,02:51:12,#1,1,1,Pro,Male 
2,Cameron WURF ,07:57:40,Pro (2),Male (2),00:49:54,00:02:18,04:07:13,00:01:44,02:56:29,#3,2,2,Pro,Male 
3,Matt BURTON ,08:07:18,Pro (3),Male (3),00:52:16,00:03:01,04:16:20,00:02:00,02:53:40,#8,3,3,Pro,Male 
4,Luke MCKENZIE ,08:09:43,Pro (4),Male (4),00:49:49,00:02:23,04:19:28,00:02:00,02:56:01,#2,4,4,Pro,Male 
5,Patrick DIRKSMEIER ,08:13:28,Pro (5),Male (5),00:49:48,00:02:38,04:23:35,00:02:09,02:55:16,#9,5,5,Pro,Male 
6,Lachlan KERIN ,08:23:17,Pro (6),Male (6),00:52:12,00:02:32,04:25:35,00:02:37,03:00:19,#17,6,6,Pro,Male 
7,Blake KAPPLER ,08:35:11,Pro (7),Male (7),00:52:10,00:02:07,04:28:54,00:02:25,03:09:33,#16,7,7,Pro,Male 
8,Simon BILLEAU ,08:40:55,Pro (8),Male (8),00:56:51,00:02:24,04:24:57,00:02:00,03:14:40,#11,8,8,Pro,Male 
9,Jarrod OWEN ,08:47:08,35-39 (1),Male (9),01:00:37,00:04:27,04:44:40,00:02:52,02:54:30,#671,1,9,35-39,Male 
10,Andreas FUCHS ,08:47:40,40-44 (1),Male (10),00:57:45,00:02:38,04:28:31,00:01:48,03:16:57,#754,1,10,40-44,Male 
11,Caroline STEFFEN ,08:49:45,Pro (1),Female (1),00:53:53,00:02:52,04:44:51,00:01:54,03:06:13,#30,1,1,Pro,Female 
12,Konstantin BACHOR ,08:59:35,Pro (9),Male (11),00:52:17,00:02:23,04:26:32,00:02:39,03:35:41,#7,9,11,Pro,Male 
13,Justin WENDEMUTH ,08:59:40,25-29 (1),Male (12),00:54:46,00:03:12,04:49:41,00:02:26,03:09:33,#130,1,12,25-29,Male 
14,Stephane VANDER BRUGGEN ,08:59:54,40-44 (2),Male (13),00:51:47,00:03:23,04:46:18,00:02:03,03:16:21,#417,2,13,40-44,Male 
15,Beau WATERS ,09:01:29,30-34 (1),Male (14),01:04:59,00:03:05,04:35:39,00:02:17,03:15:27,#229,1,14,30-34,Male 
16,Brad WALL ,09:02:39,30-34 (2),Male (15),00:54:31,00:02:49,04:50:05,00:02:00,03:13:11,#281,2,15,30-34,Male 
17,Mark CAPEK ,09:08:08,30-34 (3),Male (16),01:00:43,00:02:30,04:42:16,00:02:10,03:20:27,#519,3,16,30-34,Male 
18,Barbara RIVEROS ,09:08:08,Pro (2),Female (2),00:53:59,00:02:41,04:58:46,00:01:45,03:10:55,#33,2,2,Pro,Female 
19,Charles LEGGET ,09:09:50,30-34 (4),Male (17),00:53:36,00:02:38,04:45:19,00:02:35,03:25:41,#125,4,17,30-34,Male 
20,Brett WEICK ,09:10:07,35-39 (2),Male (18),00:56:31,00:03:55,04:48:46,00:03:08,03:17:46,#227,2,18,35-39,Male 
21,Dimity-Lee DUKE ,09:15:36,Pro (3),Female (3),01:00:31,00:03:13,04:59:08,00:02:00,03:10:41,#37,3,3,Pro,Female 
22,David SMITZ ,09:16:45,40-44 (3),Male (19),00:58:21,00:03:34,04:48:36,00:03:15,03:22:58,#138,3,19,40-44,Male 
23,Stephen GUY ,09:17:25,40-44 (4),Male (20),01:03:20,00:04:08,04:57:41,00:02:45,03:09:30,#143,4,20,40-44,Male 
24,David CLARK ,09:19:15,35-39 (3),Male (21),01:07:28,00:03:56,04:45:00,00:02:09,03:20:40,#1180,3,21,35-39,Male 
25,Michael REES ,09:20:31,45-49 (1),Male (22),00:53:01,00:02:55,04:54:34,00:03:12,03:26:47,#10023,1,22,45-49,Male 
26,Emily LOUGHNAN ,09:20:53,Pro (4),Female (4),00:55:38,00:03:01,05:07:24,00:01:46,03:13:02,#42,4,4,Pro,Female 
27,Justin SCARVACI ,09:20:58,30-34 (5),Male (23),01:06:42,00:04:13,04:57:29,00:03:56,03:08:36,#567,5,23,30-34,Male 
28,Dale ZABIELA ,09:21:58,25-29 (2),Male (24),01:03:54,00:03:06,04:55:33,00:03:14,03:16:09,#491,2,24,25-29,Male 
29,Troy PAGE ,09:22:38,25-29 (3),Male (25),00:58:37,00:03:11,05:02:03,00:02:02,03:16:43,#383,3,25,25-29,Male 
30,Beth MCKENZIE ,09:23:27,Pro (5),Female (5),01:02:47,00:02:55,05:09:41,00:01:59,03:06:02,#31,5,5,Pro,Female 
31,Jarron COLE ,09:23:59,30-34 (6),Male (26),00:59:05,00:03:31,04:58:05,00:04:09,03:19:07,#521,6,26,30-34,Male 
32,Trent DAWSON ,09:27:17,35-39 (4),Male (27),00:59:15,00:02:44,04:46:51,00:01:12,03:37:13,#623,4,27,35-39,Male 
33,Jarrod JOHNSTONE ,09:28:52,30-34 (7),Male (28),01:03:20,00:03:20,04:56:31,00:02:37,03:23:01,#544,7,28,30-34,Male 
34,Ben FOLMER ,09:28:54,40-44 (5),Male (29),00:57:37,00:03:39,04:57:38,00:02:45,03:27:13,#205,5,29,40-44,Male 
35,Darren CRONSHAW ,09:29:24,45-49 (2),Male (30),01:04:21,00:03:05,04:49:08,00:02:14,03:30:34,#312,2,30,45-49,Male 
36,Peter BREADSELL ,09:30:27,45-49 (3),Male (31),01:03:11,00:04:25,04:36:18,00:02:04,03:44:26,#864,3,31,45-49,Male 
37,Sjoerd ALGERA ,09:30:30,30-34 (8),Male (32),01:03:38,00:03:52,04:54:24,00:03:20,03:25:15,#1175,8,32,30-34,Male 
38,Phil BOWE ,09:31:14,35-39 (5),Male (33),01:03:52,00:04:07,04:56:46,00:02:04,03:24:23,#357,5,33,35-39,Male 
39,Rob SHIELD ,09:32:23,45-49 (4),Male (34),00:57:57,00:04:06,05:03:31,00:05:00,03:21:47,#953,4,34,45-49,Male 
40,Cameron MITCHELL ,09:32:34,25-29 (4),Male (35),00:56:40,00:06:20,05:05:32,00:04:23,03:19:37,#474,4,35,25-29,Male 
41,Matt MACPHERSON ,09:32:45,30-34 (9),Male (36),01:03:28,00:03:47,04:57:41,00:02:57,03:24:50,#192,9,36,30-34,Male 
42,Sophie BUBB ,09:34:41,35-39 (1),Female (6),01:05:11,00:03:55,05:04:57,00:02:29,03:18:06,#159,1,6,35-39,Female 
43,Alison MAHER ,09:35:10,30-34 (1),Female (7),01:04:24,00:05:17,05:07:00,00:02:14,03:16:12,#599,1,7,30-34,Female 
44,Bart HOLLEMANS ,09:35:11,45-49 (5),Male (37),01:07:07,00:02:53,04:39:04,00:02:22,03:43:43,#318,5,37,45-49,Male 
45,Arnaud SELUKOV ,09:35:23,45-49 (6),Male (38),01:00:20,00:02:29,04:52:42,00:02:10,03:37:40,#1202,6,38,45-49,Male 
46,Ryan PALAZZI ,09:35:44,Pro (10),Male (39),00:52:10,00:02:39,04:46:06,00:03:53,03:50:53,#19,10,39,Pro,Male 
47,Adam DUBBERLEY ,09:35:49,35-39 (6),Male (40),00:59:38,00:03:50,04:42:12,00:02:40,03:47:27,#268,6,40,35-39,Male 
48,Johan NYBERG ,09:36:07,35-39 (7),Male (41),01:02:28,00:03:40,05:03:59,00:03:37,03:22:23,#157,7,41,35-39,Male 
